id,sku,primary_barcode,brand_name,generic_name,strength,form,form_custom,manufacturer,therapeutic_category,purchase_unit,base_unit,units_per_purchase,prescription_required,controlled_schedule,tax_code_value,reorder_level,reorder_quantity,reorder_unit,is_active,created_at,updated_at,deleted_at
36,ACE1125-SYR,08964002675821,Acefyl-125,Acefylline Piperazine,125ml,SYRUP,,Nabiqasim Industries (PVT.) LTD,,BOX,BOTTLE,1,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-22 10:26:40.539762+00,2026-05-22 10:26:40.539762+00,
209,ACVL400-TAB,08961100510047,Acvlex,Aciclovir 400mg,400mg,TABLET,,Ferozsons Laboratories Limited,,BOX,TABLET,20,f,NONE,EXEMPT,40,0,PURCHASE,t,2026-05-31 08:30:07.582846+00,2026-05-31 08:30:07.582846+00,
107,ACYC-CRM,08961100514694,Acylex Cream 5% 10g,Aciclovir,,CREAM,,Ferozsons Laboratories Limited,,BOX,TUBE,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-22 14:19:56.837947+00,2026-05-22 14:19:56.837947+00,
272,AGO220-TAB,08964002141197,Agorel 20mg,Piroxicam-β-Cyclodextrin 20mg,20mg,TABLET,,Briell Pharamaceuticals Pvt. Ltd.,,BOX,TABLET,20,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-31 10:11:57.398372+00,2026-05-31 10:11:57.398372+00,
328,AME5-AMP,,Amenex-500mg Injection,Tranexamic Acid 500mg Injection,,INJECTION_AMPOULE,,Amaan Pharma,,BOX,INJECTION,10,f,NONE,EXEMPT,4,0,PURCHASE,t,2026-05-31 12:48:00.227435+00,2026-05-31 12:48:00.227435+00,
310,AMK1-AMP,08964001397748,Amkay 100mg/2ml Injection,Amikacin Sulfate 100mg/2ml Injection,,INJECTION_AMPOULE,,Bosch Pharmaceuticals (Pvt.) Ltd.,,BOX,INJECTION,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-31 12:02:07.859079+00,2026-05-31 12:02:40.181357+00,
311,AMK2-AMP,08964001397755,Amkay 250mg/2ml Injection,Amikacin Sulfate 250mg/2ml Injection,,INJECTION_AMPOULE,,Bosch Pharmaceuticals (Pvt.) Ltd.,,BOX,INJECTION,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-31 12:05:33.372135+00,2026-06-01 22:13:35.249462+00,
252,AMO2250-CAP,08964001577232,Amoxil 250mg,Amoxycillin 250mg,250mg,CAPSULE,,GlaxoSmithKline Pakistan Limited,,BOX,CAPSULE,100,f,NONE,EXEMPT,100,0,PURCHASE,t,2026-05-31 09:49:26.54222+00,2026-05-31 09:49:26.54222+00,
253,AMO5500-TAB,08964001577249,Amoxil 500mg,Amoxycillin 500mg,500mg,TABLET,,GlaxoSmithKline Pakistan Limited,,BOX,TABLET,100,f,NONE,EXEMPT,100,0,PURCHASE,t,2026-05-31 09:50:09.881659+00,2026-05-31 09:50:09.881659+00,
146,AMRO2-INJ,,Amroplex,Vitamin B-Complex,2ml,INJECTION,,Marcos Pharmaceuticals,,BOX,INJECTION,25,f,NONE,EXEMPT,25,0,PURCHASE,t,2026-05-23 09:21:49.94771+00,2026-05-23 09:21:49.94771+00,
175,ANG0-TAB,08964001480105,Angised 0.5mg,Glyceryl Trinitrate 0.5mg,,TABLET,,GlaxoSmithKline Pakistan Limited,,BOX,TABLET,60,f,NONE,EXEMPT,120,0,PURCHASE,t,2026-05-23 10:28:19.059642+00,2026-05-23 10:28:19.059642+00,
274,AQUI5-AMP,,Aqua I.V Injection 5ml,Water For Injection,5ml,INJECTION_AMPOULE,,Novartana Phanaceuticals PVT Ltd,,BOX,INJECTION,100,f,NONE,EXEMPT,50,0,PURCHASE,t,2026-05-31 10:33:26.918279+00,2026-05-31 10:33:26.918279+00,
259,ARI220030-TAB,08002660021977,Arinac 200mg/30mg,Ibuprofen 200mg + Pseudoephedrine HCl 30mg,200mg/30mg,TABLET,,Abbott Laboratories (Pakistan) Ltd,,BOX,TABLET,100,f,NONE,EXEMPT,30,0,PURCHASE,t,2026-05-31 09:57:37.621029+00,2026-05-31 09:57:37.621029+00,
260,ARI440060-TAB,08002660021946,Arinac 400mg/60mg,Ibuprofen 200mg + Pseudoephedrine HCl 30mg,400mg/60mg,TABLET,,Abbott Laboratories (Pakistan) Ltd,,BOX,TABLET,100,f,NONE,EXEMPT,30,0,PURCHASE,t,2026-05-31 09:58:50.19379+00,2026-05-31 09:59:07.012447+00,
213,ARTP80480-TAB,08961101693497,Artecxin Plus,Artemether + Lumefantrine,80mg/480mg,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,6,f,NONE,EXEMPT,18,0,PURCHASE,t,2026-05-31 08:34:17.430579+00,2026-05-31 08:34:17.430579+00,
367,ATEN-NEB,08025153004035,Atem Nebuliser Solution 0.50mg/2ml,Ipratropium bromide Eur.Ph,,NEBULIZER_SOLUTION,,Chiesi Pharmaceuticals (Pvt.) Ltd,,BOX,PACK,10,f,NONE,EXEMPT,5,0,PURCHASE,t,2026-06-01 16:37:21.91864+00,2026-06-01 16:37:21.91864+00,
233,AUGM625-TAB,08964001578604,Augmentin,Co-amoxiclav 625mg,625mg,TABLET,,GlaxoSmithKline Pakistan Limited,,BOX,TABLET,12,f,NONE,EXEMPT,24,0,PURCHASE,t,2026-05-31 09:31:30.27365+00,2026-05-31 09:31:43.426253+00,
377,AVII-AMP,,Avilon Injection 2ml,Pheniramine Maleate U.S.P,,INJECTION_AMPOULE,,Harmann Pharmaceutical Laboratories,,BOX,INJECTION,100,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-06-01 23:31:51.622052+00,2026-06-01 23:31:51.622052+00,
301,AVIU-INJ,,Avilon USP Injection,Pheniramine Maleate USP Injection,,INJECTION,,Harmann Pharmaceutical Laboratories,,BOX,INJECTION,100,f,NONE,EXEMPT,20,0,PURCHASE,f,2026-05-31 11:45:58.340897+00,2026-06-01 23:47:58.897709+00,2026-06-01 23:47:58.897709+00
275,AXE440-CAP,08961101690656,Axesom 40mg,Esomeprazole 40mg,40mg,CAPSULE,,Highnoon Laboratories Ltd,,BOX,CAPSULE,14,f,NONE,EXEMPT,14,0,PURCHASE,t,2026-05-31 10:35:59.177962+00,2026-05-31 10:35:59.177962+00,
152,AZIP2005-SUS,08964001642015,Azipos,Azithromycin,200mg/5ml,SUSPENSION,,Highnoon Laboratories Ltd,,BOX,BOTTLE,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-23 09:35:19.699735+00,2026-05-23 09:35:19.699735+00,
250,AZI5500-TAB,08964001641735,Azipos 500mg,Azithromycin 500mg,500mg,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,6,f,NONE,EXEMPT,12,0,PURCHASE,t,2026-05-31 09:47:47.860991+00,2026-05-31 09:47:47.860991+00,
154,AZIT-SUS,,Azit,Azithromycin,,SUSPENSION,,Raazee Therapeutics (Pvt.) Ltd,,BOX,BOTTLE,1,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-23 09:38:36.441087+00,2026-05-23 09:38:36.441087+00,
242,AZIT500-TAB,08964001921158,Azitma,Azithromycin 500mg,500mg,TABLET,,SAMI Pharmaceuticals (Pvt.) Ltd,,BOX,TABLET,6,f,NONE,EXEMPT,12,0,PURCHASE,t,2026-05-31 09:40:37.232299+00,2026-05-31 09:40:37.232299+00,
